Name,Category,Feed
AI Platform,AI,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AIPlatformBlog
Azure AI Services,AI,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=Azure-AI-Services-blog
Machine Learning,AI,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=MachineLearningBlog
Access,Identity,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AccessBlog
Analytics on Azure,Analytics,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AnalyticsonAzure
Apps on Azure,PaaS,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AppsonAzureBlog
Ask Directory Services,Others,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AskDS
Azure Arc,Arc,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AzureArcBlog
Azure Architecture,Architecture,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AzureArchitectureBlog
Azure Communication Services,PaaS,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AzureCommunicationServicesBlog
Azure Compute,Cloud Infrastructure,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AzureCompute
Azure Confidential Computing,PaaS,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AzureConfidentialComputingBlog
Azure Data,Data,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AzureDataBlog
Azure Data Explorer,Data,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AzureDataExplorer
Azure Data Factory,Data,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AzureDataFactoryBlog
Azure Database Support,Databases,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AzureDBSupport
Azure Database for My SQL,Database,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=ADforMySQL
Azure Database for Postgre SQL,Database,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=ADforPostgreSQL
Azure Federal Developer Connect,Development,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AzureFederalDeveloperConnect
Azure Governance and Management,Governance,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AzureGovernanceandManagementBlog
Azure High Performance Computing,HPC,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AzureHighPerformanceComputingBlog
Azure Infra Gurus,Cloud Infrastructure,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AzureInfraGurus
Azure Infrastructure,Cloud Infrastructure,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AzureInfrastructureBlog
Integrations on Azure,Others,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=IntegrationsonAzureBlog
Azure Lab Services,Others,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AzureLabServicesBlog
Azure Maps,PaaS,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AzureMapsBlog
Azure Migration and Modernization,Others,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AzureMigrationBlog
Azure Network Security,Networking,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AzureNetworkSecurityBlog
Azure Networking,Networking,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AzureNetworkingBlog
Azure Observability,Others,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AzureObservabilityBlog
Azure PaaS,PaaS,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AzurePaaSBlog
Azure SQL,Database,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AzureSQLBlog
Azure Space,PaaS,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AzureSpaceBlog
Azure Stack,Cloud Infrastructure,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AzureStackBlog
Azure Storage,Cloud Infrastructure,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AzureStorageBlog
Azure Synapse Analytics,Analytics,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AzureSynapseAnalyticsBlog
Azure Tools,Others,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AzureToolsBlog
Azure Virtual Desktop,Virtualization,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AzureVirtualDesktopBlog
Azure for ISV and Startups Technical,Architecture,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AzureforISVandStartupsTechnicalBlog
Ads API,PaaS,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AdsAPIBlog
Community News Desk,Communities,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=CommunityNewsDesk
Configuration Manager,Endpoints,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=ConfigurationManagerBlog
Containers,Containers,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=Containers
Core Infrastructure and Security,Security,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=CoreInfrastructureandSecurityBlog
Corporate Communications,Others,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=Corporate_Communications_Blog
Data Architecture,Data,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=DataArchitectureBlog
Device Management Microsoft,Endpoints,https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=DeviceManagementMicrosoft
