name,category,url,enabled
"AI Platform","AI","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AIPlatformBlog",true
"Access","Identity","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AccessBlog",true
"Ads API","PaaS","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AdsAPIBlog",true
"Analytics on Azure","Analytics","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AnalyticsonAzure",true
"Apps on Azure","PaaS","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AppsonAzureBlog",true
"Ask Directory Services","Others","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AskDS",true
"Azure AI Services","AI","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=Azure-AI-Services-blog",true
"Azure Arc","Arc","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AzureArcBlog",true
"Azure Architecture","Architecture","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AzureArchitectureBlog",true
"Azure Communication Services","PaaS","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AzureCommunicationServicesBlog",true
"Azure Compute","Cloud Infrastructure","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AzureCompute",true
"Azure Confidential Computing","PaaS","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AzureConfidentialComputingBlog",true
"Azure Data","Data","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AzureDataBlog",true
"Azure Data Explorer","Data","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AzureDataExplorer",true
"Azure Data Factory","Data","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AzureDataFactoryBlog",true
"Azure Database Support","Databases","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AzureDBSupport",true
"Azure Database for My SQL","Database","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=ADforMySQL",true
"Azure Database for Postgre SQL","Database","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=ADforPostgreSQL",true
"Azure Federal Developer Connect","Development","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AzureFederalDeveloperConnect",true
"Azure Governance and Management","Governance","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AzureGovernanceandManagementBlog",true
"Azure High Performance Computing","HPC","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AzureHighPerformanceComputingBlog",true
"Azure Infra Gurus","Cloud Infrastructure","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AzureInfraGurus",true
"Azure Infrastructure","Cloud Infrastructure","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AzureInfrastructureBlog",true
"Azure Lab Services","Others","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AzureLabServicesBlog",true
"Azure Maps","PaaS","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AzureMapsBlog",true
"Azure Migration and Modernization","Others","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AzureMigrationBlog",true
"Azure Network Security","Networking","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AzureNetworkSecurityBlog",true
"Azure Networking","Networking","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AzureNetworkingBlog",true
"Azure Observability","Others","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AzureObservabilityBlog",true
"Azure PaaS","PaaS","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AzurePaaSBlog",true
"Azure Purview","Security","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AzurePurviewBlog",true
"Azure SQL","Database","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AzureSQLBlog",true
"Azure Space","PaaS","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AzureSpaceBlog",true
"Azure Stack","Cloud Infrastructure","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AzureStackBlog",true
"Azure Storage","Cloud Infrastructure","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AzureStorageBlog",true
"Azure Synapse Analytics","Analytics","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AzureSynapseAnalyticsBlog",true
"Azure Tools","Others","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AzureToolsBlog",true
"Azure Virtual Desktop","Virtualization","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AzureVirtualDesktopBlog",true
"Azure for ISV and Startups Technical","Architecture","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=AzureforISVandStartupsTechnicalBlog",true
"Community News Desk","Communities","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=CommunityNewsDesk",true
"Configuration Manager","Endpoints","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=ConfigurationManagerBlog",true
"Containers","Containers","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=Containers",true
"Core Infrastructure and Security","Security","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=CoreInfrastructureandSecurityBlog",true
"Corporate Communications","Others","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=Corporate_Communications_Blog",true
"Data Architecture","Data","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=DataArchitectureBlog",true
"Defender External Attack Surface Mgmt","Security","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=DefenderExternalAttackSurfaceMgmtBlog",true
"Defender Threat Intelligence","Security","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=DefenderThreatIntelligence",true
"Device Management Microsoft","Endpoints","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=DeviceManagementMicrosoft",true
"Driving Adoption","Others","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=DrivingAdoptionBlog",true
"Education","Communities","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=EducationBlog",true
"Educator Developer","Development","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=EducatorDeveloperBlog",true
"Excel","Productivity","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=ExcelBlog",true
"Exchange","Exchange","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=Exchange",true
"FSLogix","Virtualization","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=FSLogix-Blog",true
"Fast Track","Fast Track","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=FastTrackBlog",true
"Fast Track for Azure","Fast Track","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=FastTrackforAzureBlog",true
"File CAB","Others","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=FileCAB",true
"FinOps","Finops","https://techcommunity.microsoft.com/t5/s/gxcuf89792/rss/board?board.id=FinOpsBlog",true
